zotero_link|creator
4QQVB5QX|Shapland
GS8MI9TF|NO_CREATOR
WR8TIWBK|Matthews_Nashli
T3KWBPRC|Peasnall_Peregrine_Ember
9E94X4UM|Moghaddam
UAD8ZZR9|Alizadeh_van_Ess
K936JC6D|Gesell
7BSTB7FH|Berndt-Ersöz
GFD6B87B|Munn
HJISWH44|Payne_Wintjes
8GC9AVNK|Alden_et_al
ANAE2KEW|Yang
DQ69M9TV|Harkness
W379DH8P|Bonfil_et_al
DSGC5UFG|Linder_et_al
43AU5MEP|Kaldellis
NRRUCHE2|Cameron
C6HJ3VZZ|Cameron
USZNMPBI|Herrin
PG3V778K|Howard-Johnston_et_al
R7R78239|Hussey
HU6778CR|Marchesi_Marchetti
G337ZI6A|Williamson
WGAEUJT7|Noegel
86TFTD7M|Koester
C9CUCXCH|Lund
HPNMW9FZ|Mikalson_Iles_Johnson
BXPHKQG3|Feinman_et_al
P96BSGQ8|Blanton_et_al
Q7EFBDYF|Feinman_Faulseit_Nicholas
BFLNELIX|Feinman_Nicholas
9TV6ENUR|Collcutt
ANZMF89I|Farris
N7RF7C5P|Kitigawa
ZJ6PMUH9|Kuroda
TNJR66DR|Kitigawa
UIG7QXBW|Freeman_et_al
TSXN78UE|Nigosian
6N7NU6JT|Miksic
Q4DJTPDT|NO_CREATOR
Y3WC8IY8|Barnes
YQBVBPX9|Gao_et_al
66P96J9J|Kelman
S5KXMRGC|Berke_et_al
|MAJID
ZTPKNNQ8|Reilly_III
M55FI6UZ|Pacheco-Forés_et_al
5ZT27ZC2|Morehart_et_al
XZPVKGWA|Cowgill
ZZ5ACP74|Turner
NRGZDV3Z|Charles
R2C72GGB|Edwards_Brock
PAAET6QY|Ranger_Brock
BPADFNRX|Abdulkadir,
ZGGEJWF9|Afolayan_Shillington
JEH547UL|NO_CREATOR
CMRM3RTG|Robinson
H6VA5CET|Robinson
2CM2MJGC|Oriji
XQW4SG6D|NO_CREATOR
CJMUFRT3|NO_CREATOR
P42QKG7Z|Parkin
5N2U96V3|Larson_et_al
D8GQQV9U|Baines
GY7YFUWF|Anderson_Martin_Nicholas
D8S5S2FJ|Leacock_Etienne_Leacock
3E7ZUAQI|McEwan
XMWZ6QVJ|Czwarno_Meddens_Morgan
TI3S4BE5|Tung
DVBHUHU3|Więckowski
XZKW6HW9|Malpass
